,,,,,,49,24,87,,73,160
,US District Courts,,1,0,0,0,0,0,0,,
,,,28,21,12,4,3,7,1,,
,State and Court,Court Abbreviation,Total Judges,D-Appointed,R-Appointed,Vacant,Future Vacant,Number Eligible for Senior Status,Pending Nomination,,
,District of Maine,ME,3,2,1,0,0,0,0,,
,District of Connecticut,CT,8,6,1,1,0,0,1,,
,District of Massachusetts,MA,13,11,2,0,1,4,0,,
,District of Rhode Island,RI,3,1,2,0,1,0,0,,
,District of New Hampshire,NH,3,2,1,0,0,0,0,,
,District of Vermont,VT,2,2,0,0,1,0,1,,
,Northern District of New York,NY-N,5,4,1,0,0,3,0,,
,Western District of New York,NY-W,4,2,1,1,0,0,1,,
,Southern District of New York,NY-S,27,21,6,0,0,1,0,,
,Eastern District of New York,NY-E,16,11,5,0,1,2,0,,
,District of New Jersey,NJ,17,14,2,1,0,0,1,,
,Eastern District of Pennsylvania,PA-E,22,11,9,2,0,4,0,,
,Middle District of Pennsylvania,PA-M,6,3,2,1,1,2,1,,
,Western District of Pennsylvania,PA-W,10,2,8,0,0,0,0,,
,District of Delaware,DE,5,3,2,0,0,0,0,,
,District of Maryland,MD,10,9,1,0,1,0,0,,
,Northern District of West Virginia,WV-N,3,1,2,0,0,1,0,,
,Southern District of West Virginia,WV-S,5,3,2,0,0,3,0,,
,Eastern District of Virginia,VA-E,11,7,4,0,0,1,0,,
,Western District of Virginia,VA-W,4,3,1,0,1,0,0,,
,Northern District of Ohio,OH-N,11,5,5,1,0,1,0,,
,Southern District of Ohio,OH-S,8,3,5,0,1,3,0,,
,Eastern District of North Carolina,NC-E,4,0,4,0,0,1,0,,
,Middle District of North Carolina,NC-M,4,2,2,0,0,0,0,,
,Western District of North Carolina,NC-W,5,1,3,1,1,1,0,,
,Eastern District of Kentucky,KY-E,6,0,6,0,0,2,0,,
,Western District of Kentucky,KY-W,5,2,3,0,0,0,0,,
,District of South Carolina,SC,10,4,5,1,0,2,0,,
,Eastern District of Tennessee,TN-E,5,1,4,0,0,1,0,,
,Middle District of Tennessee,TN-M,4,2,2,0,0,1,0,,
,Western District of Tennessee,TN-W,5,1,3,1,0,1,0,,
,Northern District of Georgia,GA-N,11,6,5,0,0,0,0,,
,Middle District of Georgia,GA-M,4,2,2,0,0,1,0,,
,Southern District of Georgia,GA-S,3,0,3,0,0,0,0,,
,Northern District of Alabama,AL-N,8,1,6,1,0,0,0,,
,Middle District of Alabama,AL-M,3,0,2,1,0,0,0,,
,Southern District of Alabama,AL-S,3,0,3,0,0,0,0,,
,Northern District of Florida,FL-N,4,1,3,0,0,0,0,,
,Middle District of Florida,FL-M,15,4,9,2,2,2,0,,
,Southern District of Florida,FL-S,18,6,8,4,0,4,0,,
,Northern District of Mississippi,MS-N,3,1,1,1,0,1,0,,
,Southern District of Mississippi,MS-S,6,1,5,0,0,1,0,,
,Northern District of Indiana,IN-N,5,0,3,2,0,0,0,,
,Southern District of Indiana,IN-S,5,3,2,0,1,0,0,,
,Eastern District of Michigan,MI-E,15,11,3,1,0,3,0,,
,Western District of Michigan,MI-W,4,1,3,0,0,1,0,,
,Eastern District of Wisconsin,WI-E,5,2,2,1,0,2,0,,
,Western District of Wisconsin,WI-W,2,2,0,0,0,0,0,,
,Northern District of Illinois,IL-N,23,14,8,1,1,1,0,,
,Central District of Illinois,IL-C,4,4,0,0,1,0,0,,
,Southern District of Illinois,IL-S,4,2,2,0,0,0,0,,
,Eastern District of Louisiana,LA-E,12,7,5,0,1,5,0,,
,Middle District of Louisiana,LA-M,3,3,0,0,0,1,0,,
,Western District of Louisiana,LA-W,7,1,5,1,0,1,0,,
,Eastern District of Arkansas,AR-E,5,3,2,0,0,0,0,,
,Western District of Arkansas,AR-W,3,2,0,1,0,0,0,,
,Eastern District of Missouri,MO-E,9,2,4,3,1,1,0,,
,Western District of Missouri,MO-W,6,5,1,0,0,0,0,,
,Southern District of Iowa,IA-S,3,3,0,0,0,0,0,,
,Northern District of Iowa,IA-N,2,1,1,0,0,0,0,,
,District of Minnesota,MN,7,4,3,0,1,0,0,,
,Eastern District of Texas,TX-E,8,3,5,0,0,1,0,,
,Southern District of Texas,TX-S,19,7,9,3,0,4,0,,
,Western District of Texas,TX-W,13,3,6,4,0,3,0,,
,Northern District of Texas,TX-N,12,1,10,1,0,4,0,,
,Eastern District of Oklahoma,OK-E,2,0,2,0,0,0,0,,
,Northern District of Oklahoma,OK-N,4,2,2,0,0,1,0,,
,Western District of Oklahoma,OK-W,7,0,7,0,0,0,0,,
,District of Kansas,KS,6,1,4,1,0,1,0,,
,District of Nebraska,NE,3,1,1,1,0,0,0,,
,District of South Dakota,SD,3,2,0,1,1,1,0,,
,District of North Dakota,ND,2,0,2,0,0,0,0,,
,District of New Mexico,NM,7,4,3,0,0,1,0,,
,District of Colorado,CO,7,4,2,1,0,0,1,,
,District of Wyoming,WY,3,1,1,1,0,1,0,,
,District of Montana,MT,3,3,0,0,1,1,0,,
,District of Idaho,ID,2,1,1,0,0,0,0,,
,District of Utah,UT,5,2,2,1,0,0,0,,
,District of Arizona,AZ,13,7,6,0,3,1,0,,
,District of Nevada,NV,7,7,0,0,0,0,0,,
,Southern District of California,CA-S,13,8,3,2,0,1,1,,
,Central District of California,CA-C,28,15,12,1,0,7,0,,
,Northern District of California,CA-N,14,13,0,1,1,1,0,,
,Eastern District of California,CA-E,6,5,0,1,0,0,0,,
,District of Oregon,OR,5,4,1,0,1,0,0,,
,Eastern District of Washington,WA-E,4,3,0,1,0,0,0,,
,Western District of Washington,WA-W,7,7,0,0,0,0,0,,
,District of Alaska,AK,2,1,1,0,0,0,0,,
,District of Puerto Rico,PR,7,4,3,0,0,1,0,,
,District of the Northern Marinaras Islands,MP,1,1,0,0,0,0,0,,
,District of Hawaii,HI,6,4,2,0,0,0,0,,