District Court Judges,,,,,,,,,,,,,,,,,,
Western District of Missouri,MO-W,David Gregory Kays,2008,G.W. Bush,R,1962,61,15,76,No,2027,No,No,,No,,,
Western District of Missouri,MO-W,Brian C. Wimes,2012,Obama,D,1966,57,11,68,No,2035,No,No,,No,,,
Western District of Missouri,MO-W,M. Douglas Harpool,2014,Obama,D,1956,67,9,76,No,2027,No,No,,No,,,
Western District of Missouri,MO-W,Stephen R. Bough,2014,Obama,D,1970,53,9,62,No,2041,No,No,,No,,,
Western District of Missouri,MO-W,Roseann A. Ketchmark,2015,Obama,D,1963,60,8,68,No,2035,No,No,,No,,,
Southern District of Iowa,IA-S,Stephanie M. Rose,2012,Obama,D,1972,51,11,62,No,2041,No,No,,Yes,,,
Southern District of Iowa,IA-S,Rebecca Goodgame Ebinger,2016,Obama,D,1975,48,7,55,No,2048,No,No,,No,,,
Southern District of Iowa,IA-S,Stephen H. Locher,2022,Biden,D,1978,45,1,46,No,2057,No,No,,No,,,
Northern District of Iowa,IA-N,Leonard T. Strand,2016,Obama,D,1965,58,7,65,No,2038,No,No,,Yes,,,
Northern District of Iowa,IA-N,C. J. Williams,2018,Trump,R,1963,60,5,65,No,2038,No,No,,No,,,
District of Minnesota,MN,Patrick J. Schiltz,2006,G.W. Bush,R,1960,63,17,80,No,2025,No,No,,Yes,,,
District of Minnesota,MN,Wilhelmina Wright,2016,Obama,D,1964,59,7,66,No,2037,No,Yes,,No,,,
District of Minnesota,MN,Eric C. Tostrud,2018,Trump,R,1965,58,5,63,No,2040,No,No,,No,,,
District of Minnesota,MN,Nancy E. Brasel,2018,Trump,R,1969,54,5,59,No,2044,No,No,,No,,,
District of Minnesota,MN,Katherine M. Menendez,2021,Biden,D,1971,52,2,54,No,2049,No,No,,No,,,
District of Minnesota,MN,Jerry W. Blackwell,2022,Biden,D,1962,61,1,62,No,2041,No,No,,No,,,
District of Minnesota,MN,Jeffrey Bryan,2023,Biden,D,1976,47,0,47,No,2056,No,No,,No,,,
Eastern District of Texas,TX-E,J. Rodney Gilstrap,2011,Obama,D,1957,66,12,78,No,2025,No,No,,Yes,,,
Eastern District of Texas,TX-E,Marcia A. Crone,2003,G.W. Bush,R,1952,71,20,91,Yes,2017,No,No,,No,,,
Eastern District of Texas,TX-E,Amos Mazzant,2014,Obama,D,1965,58,9,67,No,2036,No,No,,No,,,
Eastern District of Texas,TX-E,Robert W. Schroeder III,2014,Obama,D,1966,57,9,66,No,2037,No,No,,No,,,
Eastern District of Texas,TX-E,Jeremy Kernodle,2018,Trump,R,1976,47,5,52,No,2051,No,No,,No,,,
Eastern District of Texas,TX-E,J. Campbell Barker,2019,Trump,R,1980,43,4,47,No,2056,No,No,,No,,,
Eastern District of Texas,TX-E,Michael J. Truncale,2019,Trump,R,1957,66,4,70,No,2033,No,No,,No,,,
Eastern District of Texas,TX-E,Sean D. Jordan,2019,Trump,R,1965,58,4,62,No,2041,No,No,,No,,,
Southern District of Texas,TX-S,Randy Crane,2002,G.W. Bush,R,1965,58,21,79,No,2030,No,No,,Yes,,,
Southern District of Texas,TX-S,Ricardo Hinojosa,1983,Reagan,R,1950,73,40,113,Yes,2015,No,No,,No,,,
Southern District of Texas,TX-S,Lee H. Rosenthal,1992,G.H.W. Bush,R,1952,71,31,102,Yes,2017,No,No,,No,,,
Southern District of Texas,TX-S,Keith P. Ellison,1999,Clinton,D,1950,73,24,97,Yes,2015,No,No,,No,,,
Southern District of Texas,TX-S,Andrew Hanen,2002,G.W. Bush,R,1953,70,21,91,Yes,2018,No,No,,No,,,
Southern District of Texas,TX-S,Diana Saldaña,2011,Obama,D,1971,52,12,64,No,2039,No,No,,No,,,
Southern District of Texas,TX-S,Nelva Gonzales Ramos,2011,Obama,D,1965,58,12,70,No,2033,No,No,,No,,,
Southern District of Texas,TX-S,Marina Garcia Marmolejo,2011,Obama,D,1971,52,12,64,No,2039,No,No,,No,,,
Southern District of Texas,TX-S,Alfred H. Bennett,2015,Obama,D,1965,58,8,66,No,2037,No,No,,No,,,
Southern District of Texas,TX-S,George C. Hanks Jr.,2015,Obama,D,1964,59,8,67,No,2036,No,No,,No,,,
Southern District of Texas,TX-S,Rolando Olvera,2015,Obama,D,1963,60,8,68,No,2035,No,No,,No,,,
Southern District of Texas,TX-S,Fernando Rodriguez Jr.,2018,Trump,R,1969,54,5,59,No,2044,No,No,,No,,,
Southern District of Texas,TX-S,David S. Morales,2019,Trump,R,1968,55,4,59,No,2044,No,No,,No,,,
Southern District of Texas,TX-S,Jeff Brown,2019,Trump,R,1970,53,4,57,No,2046,No,No,,No,,,
Southern District of Texas,TX-S,Charles R. Eskridge III,2019,Trump,R,1963,60,4,64,No,2039,No,No,,No,,,
Southern District of Texas,TX-S,Drew B. Tipton,2020,Trump,R,1967,56,3,59,No,2044,No,No,,No,,,
Western District of Texas,TX-W,Alia Moses,2002,G.W. Bush,R,1962,61,21,82,No,2027,No,No,,Yes,,,
Western District of Texas,TX-W,Samuel Frederick Biery Jr.,1994,Clinton,D,1947,76,29,105,Yes,2012,No,No,,No,,,
Western District of Texas,TX-W,Orlando Luis Garcia,1994,Clinton,D,1952,71,29,100,Yes,2017,No,No,,No,,,
Western District of Texas,TX-W,Kathleen Cardone,2003,G.W. Bush,R,1953,70,20,90,Yes,2018,No,No,,No,,,
Western District of Texas,TX-W,Xavier Rodriguez,2003,G.W. Bush,R,1961,62,20,82,No,2026,No,No,,No,,,
Western District of Texas,TX-W,Robert L. Pitman,2014,Obama,D,1962,61,9,70,No,2033,No,No,,No,,,
Western District of Texas,TX-W,David Counts,2018,Trump,R,1961,62,5,67,No,2036,No,No,,No,,,
Western District of Texas,TX-W,Alan Albright,2018,Trump,R,1959,64,5,69,No,2034,No,No,,No,,,
Western District of Texas,TX-W,Jason K. Pulliam,2019,Trump,R,1971,52,4,56,No,2047,No,No,,No,,,
Northern District of Texas,TX-N,David C. Godbey,2002,G.W. Bush,R,1957,66,21,87,Yes,2022,No,No,,Yes,,,
Northern District of Texas,TX-N,Sam A. Lindsay,1998,Clinton,D,1951,72,25,97,Yes,2016,No,No,,No,,,
Northern District of Texas,TX-N,James E. Kinkeade,2002,G.W. Bush,R,1951,72,21,93,Yes,2016,No,No,,No,,,
Northern District of Texas,TX-N,Jane J. Boyle,2004,G.W. Bush,R,1954,69,19,88,Yes,2019,No,No,,No,,,
Northern District of Texas,TX-N,Reed O'Connor,2007,G.W. Bush,R,1965,58,16,74,No,2030,No,No,,No,,,
Northern District of Texas,TX-N,Karen Gren Scholer,2018,Trump,R,1957,66,5,71,No,2032,No,No,,No,,,
Northern District of Texas,TX-N,Matthew J. Kacsmaryk,2019,Trump,R,1977,46,4,50,No,2053,No,No,,No,,,
Northern District of Texas,TX-N,Mark T. Pittman,2019,Trump,R,1975,48,4,52,No,2051,No,No,,No,,,
Northern District of Texas,TX-N,Brantley Starr,2019,Trump,R,1979,44,4,48,No,2055,No,No,,No,,,
Northern District of Texas,TX-N,James Wesley Hendrix,2019,Trump,R,1977,46,4,50,No,2053,No,No,,No,,,
Northern District of Texas,TX-N,Ada Brown,2019,Trump,R,1974,49,4,53,No,2050,No,No,,No,,,
Eastern District of Oklahoma,OK-E,Ronald A. White,2003,G.W. Bush,R,1961,62,20,82,No,2026,No,No,,Yes,,,
Eastern District of Oklahoma,OK-E,John F. Heil III,2020,Trump,R,1968,55,3,58,No,2045,No,No,,No,,,
Northern District of Oklahoma,OK-N,John F. Heil III,2020,Trump,R,1968,55,3,58,No,2045,No,No,,Yes,,,
Northern District of Oklahoma,OK-N,Gregory Kent Frizzell,2007,G.W. Bush,R,1956,67,16,83,Yes,2021,No,No,,No,,,
Northern District of Oklahoma,OK-N,Sara E. Hill,2023,Biden,D,1977,46,0,46,No,2057,No,No,,No,,,
Northern District of Oklahoma,OK-N,John D. Russell,2023,Biden,D,1963,60,0,60,No,2043,No,No,,No,,,
Western District of Oklahoma,OK-W,Timothy D. DeGiusti,2007,G.W. Bush,R,1962,61,16,77,No,2027,No,No,,Yes,,,
Western District of Oklahoma,OK-W,Scott L. Palk,2017,Trump,R,1967,56,6,62,No,2041,No,No,,No,,,
Western District of Oklahoma,OK-W,Charles Barnes Goodwin,2018,Trump,R,1970,53,5,58,No,2045,No,No,,No,,,
Western District of Oklahoma,OK-W,Patrick Wyrick,2019,Trump,R,1981,42,4,46,No,2057,No,No,,No,,,
Western District of Oklahoma,OK-W,Jodi W. Dishman,2019,Trump,R,1979,44,4,48,No,2055,No,No,,No,,,
Western District of Oklahoma,OK-W,Bernard M. Jones,2019,Trump,R,1979,44,4,48,No,2055,No,No,,No,,,
Western District of Oklahoma,OK-W,John F. Heil III,2020,Trump,R,1968,55,3,58,No,2045,No,No,,No,,,
District of Kansas,KS,Eric F. Melgren,2008,G.W. Bush,R,1956,67,15,82,Yes,2021,No,No,,Yes,,,
District of Kansas,KS,Daniel D. Crabtree,2014,Obama,D,1956,67,9,76,No,2027,No,No,,No,,,
District of Kansas,KS,John W. Broomes,2018,Trump,R,1969,54,5,59,No,2044,No,No,,No,,,
District of Kansas,KS,Holly Teeter,2018,Trump,R,1979,44,5,49,No,2054,No,No,,No,,,
District of Kansas,KS,Toby Crouse,2020,Trump,R,1975,48,3,51,No,2052,No,No,,No,,,
District of Nebraska,NE,Robert F. Rossiter Jr.,2016,Obama,D,1956,67,7,74,No,2029,No,No,,Yes,,,
District of Nebraska,NE,Brian C. Buescher,2019,Trump,R,1975,48,4,52,No,2051,No,No,,No,,,
District of South Dakota,SD,Roberto Lange,2009,Obama,D,1963,60,14,74,No,2029,No,No,,Yes,,,
District of South Dakota,SD,Karen Schreier,1999,Clinton,D,1956,67,24,91,Yes,2021,No,Yes,,No,,,
District of North Dakota,ND,Peter D. Welte,2019,Trump,R,1965,58,4,62,No,2041,No,No,,Yes,,,
District of North Dakota,ND,Daniel M. Traynor,2020,Trump,R,1970,53,3,56,No,2047,No,No,,No,,,
District of New Mexico,NM,William Paul Johnson,2001,G.W. Bush,R,1959,64,22,86,No,2024,No,No,,Yes,,,
District of New Mexico,NM,James O. Browning,2003,G.W. Bush,R,1956,67,20,87,Yes,2021,No,No,,No,,,
District of New Mexico,NM,Kenneth J. Gonzales,2013,Obama,D,1964,59,10,69,No,2034,No,No,,No,,,
District of New Mexico,NM,Kea W. Riggs,2019,Trump,R,1965,58,4,62,No,2041,No,No,,No,,,
District of New Mexico,NM,Margaret Strickland,2021,Biden,D,1980,43,2,45,No,2058,No,No,,No,,,
District of New Mexico,NM,David H. Urias,2022,Biden,D,1967,56,1,57,No,2046,No,No,,No,,,
District of New Mexico,NM,Matthew L. Garcia,2023,Biden,D,1974,49,0,49,No,2054,No,No,,No,,,
District of Colorado,CO,Philip A. Brimmer,2008,G.W. Bush,R,1959,64,15,79,No,2024,No,No,,Yes,,,
District of Colorado,CO,Daniel D. Domenico,2019,Trump,R,1972,51,4,55,No,2048,No,No,,No,,,
District of Colorado,CO,Regina M. Rodriguez,2021,Biden,D,1963,60,2,62,No,2041,No,No,,No,,,
District of Colorado,CO,Charlotte Sweeney,2022,Biden,D,1969,54,1,55,No,2048,No,No,,No,,,
District of Colorado,CO,Nina Y. Wang,2022,Biden,D,1972,51,1,52,No,2051,No,No,,No,,,
District of Colorado,CO,Gordon Gallagher,2023,Biden,D,1970,53,0,53,No,2050,No,No,,No,,,
District of Wyoming,WY,Scott W. Skavdahl,2011,Obama,D,1966,57,12,69,No,2034,No,No,,Yes,,,
District of Wyoming,WY,Alan Bond Johnson,1985,Reagan,R,1939,84,38,122,Yes,2004,No,No,,No,,,
District of Montana,MT,Brian Morris,2013,Obama,D,1963,60,10,70,No,2033,No,No,,Yes,,,
District of Montana,MT,Dana L. Christensen,2011,Obama,D,1951,72,12,84,Yes,2019,No,Yes,,No,,,
District of Montana,MT,Susan P. Watters,2013,Obama,D,1958,65,10,75,No,2028,No,No,,No,,,
District of Idaho,ID,David Nye,2017,Trump,R,1958,65,6,71,No,2032,No,No,,Yes,,,
District of Idaho,ID,Amanda Brailsford,2023,Biden,D,1967,56,0,56,No,2047,No,No,,No,,,
District of Utah,UT,Robert J. Shelby,2012,Obama,D,1970,53,11,64,No,2039,No,No,,Yes,,,
District of Utah,UT,Jill Parrish,2015,Obama,D,1961,62,8,70,No,2033,No,No,,No,,,
District of Utah,UT,Howard C. Nielson Jr.,2019,Trump,R,1968,55,4,59,No,2044,No,No,,No,,,
District of Utah,UT,David Barlow,2020,Trump,R,1971,52,3,55,No,2048,No,No,,No,,,
District of Arizona,AZ,G. Murray Snow,2008,G.W. Bush,R,1959,64,15,79,No,2024,No,Yes,,Yes,,,
District of Arizona,AZ,Jennifer Zipps,2011,Obama,D,1964,59,12,71,No,2032,No,No,,No,,,
District of Arizona,AZ,John J. Tuchi,2014,Obama,D,1964,59,9,68,No,2035,No,No,,No,,,
District of Arizona,AZ,Diane Humetewa,2014,Obama,D,1964,59,9,68,No,2035,No,No,,No,,,
District of Arizona,AZ,Steven Paul Logan,2014,Obama,D,1965,58,9,67,No,2036,No,No,,No,,,
District of Arizona,AZ,Rosemary Márquez,2014,Obama,D,1968,55,9,64,No,2039,No,No,,No,,,
District of Arizona,AZ,Douglas L. Rayes,2014,Obama,D,1952,71,9,80,No,2023,No,Yes,,No,,,
District of Arizona,AZ,James A. Soto,2014,Obama,D,1950,73,9,82,Yes,2021,No,Yes,,No,,,
District of Arizona,AZ,Dominic W. Lanza,2018,Trump,R,1976,47,5,52,No,2051,No,No,,No,,,
District of Arizona,AZ,Susan Brnovich,2018,Trump,R,1968,55,5,60,No,2043,No,No,,No,,,
District of Arizona,AZ,Michael T. Liburdi,2019,Trump,R,1977,46,4,50,No,2053,No,No,,No,,,
District of Arizona,AZ,Scott H. Rash,2020,Trump,R,1963,60,3,63,No,2040,No,No,,No,,,
District of Arizona,AZ,John C. Hinderaker,2020,Trump,R,1968,55,3,58,No,2045,No,No,,No,,,
District of Nevada,NV,Miranda Du,2012,Obama,D,1969,54,11,65,No,2038,No,No,,Yes,,,
District of Nevada,NV,Gloria Navarro,2010,Obama,D,1967,56,13,69,No,2034,No,No,,No,,,
District of Nevada,NV,Andrew P. Gordon,2013,Obama,D,1962,61,10,71,No,2032,No,No,,No,,,
District of Nevada,NV,Jennifer A. Dorsey,2013,Obama,D,1971,52,10,62,No,2041,No,No,,No,,,
District of Nevada,NV,Richard F. Boulware,2014,Obama,D,1968,55,9,64,No,2039,No,No,,No,,,
District of Nevada,NV,Anne Traum,2022,Biden,D,1969,54,1,55,No,2048,No,No,,No,,,
District of Nevada,NV,Cristina D. Silva,2022,Biden,D,1979,44,1,45,No,2058,No,No,,No,,,
Southern District of California,CA-S,Dana Sabraw,2003,G.W. Bush,R,1958,65,20,85,No,2023,No,No,,Yes,,,
Southern District of California,CA-S,Janis Lynn Sammartino,2007,G.W. Bush,R,1950,73,16,89,Yes,2015,No,No,,No,,,
Southern District of California,CA-S,Cathy Ann Bencivengo,2012,Obama,D,1958,65,11,76,No,2027,No,No,,No,,,
Southern District of California,CA-S,Cynthia Bashant,2014,Obama,D,1960,63,9,72,No,2031,No,No,,No,,,
Southern District of California,CA-S,Todd W. Robinson,2020,Trump,R,1967,56,3,59,No,2044,No,No,,No,,,
Southern District of California,CA-S,Linda Lopez,2021,Biden,D,1968,55,2,57,No,2046,No,No,,No,,,
Southern District of California,CA-S,Jinsook Ohta,2021,Biden,D,1976,47,2,49,No,2054,No,No,,No,,,
Southern District of California,CA-S,Ruth Bermudez Montenegro,2022,Biden,D,1967,56,1,57,No,2046,No,No,,No,,,
Southern District of California,CA-S,Robert S. Huie,2022,Biden,D,1976,47,1,48,No,2055,No,No,,No,,,
Southern District of California,CA-S,Andrew G. Schopler,2023,Biden,D,1971,52,0,52,No,2051,No,No,,No,,,
Southern District of California,CA-S,James E. Simmons Jr.,2023,Biden,D,1979,44,0,44,No,2059,No,No,,No,,,
Central District of California,CA-C,Philip S. Gutierrez,2007,G.W. Bush,R,1959,64,16,80,No,2024,No,No,,Yes,,,
Central District of California,CA-C,Stephen Victor Wilson,1985,Reagan,R,1941,82,38,120,Yes,2006,No,No,,No,,,
Central District of California,CA-C,David O. Carter,1998,Clinton,D,1944,79,25,104,Yes,2009,No,No,,No,,,
Central District of California,CA-C,Percy Anderson,2002,G.W. Bush,R,1948,75,21,96,Yes,2013,No,No,,No,,,
Central District of California,CA-C,John F. Walter,2002,G.W. Bush,R,1944,79,21,100,Yes,2009,No,No,,No,,,
Central District of California,CA-C,R. Gary Klausner,2002,G.W. Bush,R,1941,82,21,103,Yes,2006,No,No,,No,,,
Central District of California,CA-C,Cormac J. Carney,2003,G.W. Bush,R,1959,64,20,84,No,2024,No,No,,No,,,
Central District of California,CA-C,Dale S. Fischer,2003,G.W. Bush,R,1951,72,20,92,Yes,2016,No,No,,No,,,
Central District of California,CA-C,Otis D. Wright II,2007,G.W. Bush,R,1944,79,16,95,Yes,2009,No,No,,No,,,
Central District of California,CA-C,Dolly Gee,2010,Obama,D,1959,64,13,77,No,2026,No,No,,No,,,
Central District of California,CA-C,Josephine Staton,2010,Obama,D,1961,62,13,75,No,2028,No,No,,No,,,
Central District of California,CA-C,Michael W. Fitzgerald,2012,Obama,D,1959,64,11,75,No,2028,No,No,,No,,,
Central District of California,CA-C,Jesus Bernal,2012,Obama,D,1963,60,11,71,No,2032,No,No,,No,,,
Central District of California,CA-C,Fernando M. Olguin,2013,Obama,D,1961,62,10,72,No,2031,No,No,,No,,,
Central District of California,CA-C,André Birotte Jr.,2014,Obama,D,1966,57,9,66,No,2037,No,No,,No,,,
Central District of California,CA-C,Stanley Blumenfeld,2020,Trump,R,1962,61,3,64,No,2039,No,No,,No,,,
Central District of California,CA-C,John W. Holcomb,2020,Trump,R,1963,60,3,63,No,2040,No,No,,No,,,
Central District of California,CA-C,Mark C. Scarsi,2020,Trump,R,1964,59,3,62,No,2041,No,No,,No,,,
Central District of California,CA-C,Fernando L. Aenlle-Rocha,2020,Trump,R,1961,62,3,65,No,2038,No,No,,No,,,
Central District of California,CA-C,Maame Ewusi-Mensah Frimpong,2022,Biden,D,1976,47,1,48,No,2055,No,No,,No,,,
Central District of California,CA-C,Fred W. Slaughter,2022,Biden,D,1973,50,1,51,No,2052,No,No,,No,,,
Central District of California,CA-C,Sunshine Sykes,2022,Biden,D,1974,49,1,50,No,2053,No,No,,No,,,
Central District of California,CA-C,Sherilyn Peace Garnett,2022,Biden,D,1969,54,1,55,No,2048,No,No,,No,,,
Central District of California,CA-C,Wesley Hsu,2023,Biden,D,1971,52,0,52,No,2051,No,No,,No,,,
Central District of California,CA-C,Hernán D. Vera,2023,Biden,D,1970,53,0,53,No,2050,No,No,,No,,,
Central District of California,CA-C,Kenly Kiya Kato,2023,Biden,D,1972,51,0,51,No,2052,No,No,,No,,,
Central District of California,CA-C,Mónica Ramírez Almadani,2023,Biden,D,1979,44,0,44,No,2059,No,No,,No,,,
Northern District of California,CA-N,Richard Seeborg,2010,Obama,D,1956,67,13,80,No,2023,No,No,,Yes,,,
Northern District of California,CA-N,Edward Davila,2011,Obama,D,1952,71,12,83,Yes,2020,No,Yes,,No,,,
Northern District of California,CA-N,Yvonne Gonzalez Rogers,2011,Obama,D,1965,58,12,70,No,2033,No,No,,No,,,
Northern District of California,CA-N,Jon S. Tigar,2013,Obama,D,1962,61,10,71,No,2032,No,No,,No,,,
Northern District of California,CA-N,James Donato,2014,Obama,D,1960,63,9,72,No,2031,No,No,,No,,,
Northern District of California,CA-N,Beth Labson Freeman,2014,Obama,D,1953,70,9,79,No,2024,No,No,,No,,,
Northern District of California,CA-N,Vince Chhabria,2014,Obama,D,1969,54,9,63,No,2040,No,No,,No,,,
Northern District of California,CA-N,Haywood Gilliam,2014,Obama,D,1969,54,9,63,No,2040,No,No,,No,,,
Northern District of California,CA-N,Jacqueline Scott Corley,2022,Biden,D,1966,57,1,58,No,2045,No,No,,No,,,
Northern District of California,CA-N,Trina Thompson,2022,Biden,D,1961,62,1,63,No,2040,No,No,,No,,,
Northern District of California,CA-N,Araceli Martínez-Olguín,2023,Biden,D,1977,46,0,46,No,2057,No,No,,No,,,
Northern District of California,CA-N,P. Casey Pitts,2023,Biden,D,1980,43,0,43,No,2060,No,No,,No,,,
Northern District of California,CA-N,Rita F. Lin,2023,Biden,D,1978,45,0,45,No,2058,No,No,,No,,,
Eastern District of California,CA-E,Kimberly J. Mueller,2010,Obama,D,1957,66,13,79,No,2024,No,No,,Yes,,,
Eastern District of California,CA-E,Troy L. Nunley,2013,Obama,D,1964,59,10,69,No,2034,No,No,,No,,,
Eastern District of California,CA-E,Dale A. Drozd,2015,Obama,D,1955,68,8,76,No,2027,No,No,,No,,,
Eastern District of California,CA-E,Jennifer L. Thurston,2021,Biden,D,1967,56,2,58,No,2045,No,No,,No,,,
Eastern District of California,CA-E,Daniel Calabretta,2023,Biden,D,1978,45,0,45,No,2058,No,No,,No,,,
District of Oregon,OR,Marco A. Hernandez,2011,Obama,D,1957,66,12,78,No,2025,No,Yes,,Yes,,,
District of Oregon,OR,Michael H. Simon,2011,Obama,D,1956,67,12,79,No,2024,No,No,,No,,,
District of Oregon,OR,Michael J. McShane,2013,Obama,D,1961,62,10,72,No,2031,No,No,,No,,,
District of Oregon,OR,Karin Immergut,2019,Trump,R,1960,63,4,67,No,2036,No,No,,No,,,
District of Oregon,OR,Adrienne Nelson,2023,Biden,D,1967,56,0,56,No,2047,No,No,,No,,,
Eastern District of Washington,WA-E,Stanley Bastian,2014,Obama,D,1958,65,9,74,No,2029,No,No,,Yes,,,
Eastern District of Washington,WA-E,Thomas O. Rice,2012,Obama,D,1960,63,11,74,No,2029,No,No,,No,,,
Eastern District of Washington,WA-E,Mary K. Dimke,2021,Biden,D,1977,46,2,48,No,2055,No,No,,No,,,
Western District of Washington,WA-W,David Estudillo,2021,Biden,D,1973,50,2,52,No,2051,No,No,,Yes,,,
Western District of Washington,WA-W,Tana Lin,2021,Biden,D,1966,57,2,59,No,2044,No,No,,No,,,
Western District of Washington,WA-W,Lauren J. King,2021,Biden,D,1982,41,2,43,No,2060,No,No,,No,,,
Western District of Washington,WA-W,John H. Chun,2022,Biden,D,1970,53,1,54,No,2049,No,No,,No,,,
Western District of Washington,WA-W,Jamal Whitehead,2023,Biden,D,1979,44,0,44,No,2059,No,No,,No,,,
Western District of Washington,WA-W,Kymberly Evanson,2023,Biden,D,1977,46,0,46,No,2057,No,No,,No,,,
Western District of Washington,WA-W,Tiffany Cartwright,2023,Biden,D,1985,38,0,38,No,2065,No,No,,No,,,
District of Alaska,AK,Sharon L. Gleason,2012,Obama,D,1957,66,11,77,No,2026,No,No,,Yes,,,
District of Alaska,AK,Joshua Kindred,2020,Trump,R,1977,46,3,49,No,2054,No,No,,No,,,
District of Puerto Rico,PR,Raúl M. Arias-Marxuach,2019,Trump,R,1967,56,4,60,No,2043,No,No,,Yes,,,
District of Puerto Rico,PR,Aida Delgado-Colón,2006,G.W. Bush,R,1955,68,17,85,Yes,2020,No,No,,No,,,
District of Puerto Rico,PR,Pedro Delgado Hernández,2014,Obama,D,1956,67,9,76,No,2027,No,No,,No,,,
District of Puerto Rico,PR,Silvia Carreño-Coll,2020,Trump,R,1963,60,3,63,No,2040,No,No,,No,,,
District of Puerto Rico,PR,María del R. Antongiorgi-Jordán,2022,Biden,D,1967,56,1,57,No,2046,No,No,,No,,,
District of Puerto Rico,PR,Camille L. Vélez-Rivé,2022,Biden,D,1968,55,1,56,No,2047,No,No,,No,,,
District of Puerto Rico,PR,Gina R. Méndez-Miró,2023,Biden,D,1974,49,0,49,No,2054,No,No,,No,,,
District of the Northern Marinaras Islands,MP,Ramona Villagomez Manglona,2011,Obama,D,1974,49,12,61,No,2042,No,No,,No,,,
District of Hawaii,HI,Derrick Watson,2013,Obama,D,1966,57,10,67,No,2036,No,No,,No,,,
District of Hawaii,HI,John Michael Seabright,2005,G.W. Bush,R,1959,64,18,82,No,2024,No,No,,No,,,
District of Hawaii,HI,Leslie E. Kobayashi,2010,Obama,D,1957,66,13,79,No,2024,No,No,,No,,,
District of Hawaii,HI,Jill Otake,2018,Trump,R,1973,50,5,55,No,2048,No,No,,No,,,
District of Hawaii,HI,Micah W. J. Smith,2024,Biden,D,1981,42,-1,41,No,2062,No,No,,No,,,
District of Hawaii,HI,Shanlyn A. S. Park,2024,Biden,D,1969,54,-1,53,No,2050,No,No,,No,,,